addr_key,lat,lon,geocoded_at,source
4525 3RD AVE SE|LACEY|WA|98503,47.045128,-122.825641,2026-04-17T08:51:42.307484,street
825 EASTLAKE AVE E|SEATTLE|WA|98109,47.626435,-122.329758,2026-04-17T08:51:44.507300,street
209 M L KING JR WAY|TACOMA|WA|98405,47.245501,-122.438329,2026-04-17T08:51:48.917159,street
2015 COOKS HILL RD|CENTRALIA|WA|98531,46.713851,-122.988033,2026-04-17T08:51:50.025343,street
149 LILLY ROAD NE|OLYMPIA|WA|98506,47.048907,-122.846616,2026-04-17T08:51:51.137655,street
500 LILLY RD NE|OLYMPIA|WA|98506,47.053864,-122.843358,2026-04-17T08:51:57.740912,street
413 LILLY RD NE|OLYMPIA|WA|98506,47.052563,-122.847404,2026-04-17T08:51:58.849323,street
"404 YAUGER WAY SW,|OLYMPIA|WA|98502",47.046159,-122.948219,2026-04-17T08:51:59.952274,street
699 WOODLAND SQUARE LOOP SE|LACEY|WA|98503,47.041547,-122.824235,2026-04-17T08:52:01.055138,street
1959 NE PACIFIC ST|SEATTLE|WA|98195,47.649235,-122.308347,2026-04-17T08:52:02.155749,street
610 E MAIN ST|ELMA|WA|98541,47.006825,-123.390416,2026-04-17T08:52:03.257284,street
700 LILLY ROAD NE|OLYMPIA|WA|98506,47.055887,-122.844279,2026-04-17T08:52:05.467226,street
550 17TH AVE|SEATTLE|WA|98122,47.607002,-122.309454,2026-04-17T08:52:06.566643,street
1003 S 5TH ST|TACOMA|WA|98405,47.258386,-122.451904,2026-04-17T08:52:08.767182,street
209 MARTIN LUTHER KING JR WAY|TACOMA|WA|98405,47.260668,-122.452807,2026-04-17T08:52:12.082606,street
"402A BLACK HILLS LANE SE, STE A|OLYMPIA|WA|98502",47.045102,-122.895008,2026-04-17T08:52:20.894764,street
3920 CAPITAL MALL DR SW|OLYMPIA|WA|98502,47.042189,-122.951984,2026-04-17T08:52:21.999036,street
700 LILLY RD NE|OLYMPIA|WA|98506,47.055887,-122.844279,2026-04-17T08:52:23.103746,street
404 YAUGER WAY SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.103788,street
210 SE 136TH AVE|VANCOUVER|WA|98684,45.631564,-122.520394,2026-04-17T08:52:23.103801,street
201 16TH AVE E|SEATTLE|WA|98112,47.618794,-122.312645,2026-04-17T08:52:23.103812,street
128 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.103822,street
420 MCPHEE RD SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.103831,street
3525 ENSIGN RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.103841,street
1221 MADISON ST|SEATTLE|WA|98107,47.669267,-122.376658,2026-04-17T08:52:23.103851,street
310 15TH AV E|SEATTLE|WA|98112,47.63752,-122.287651,2026-04-17T08:52:23.103860,zip
2555 MARVIN RD NE|LACEY|WA|98516,47.085763,-122.777385,2026-04-17T08:52:23.103869,street
1006 NORTH H ST|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T08:52:23.103879,street
1100 9TH AVE|SEATTLE|WA|98101,47.610168,-122.327885,2026-04-17T08:52:23.103888,street
11511 NE 10TH ST|BELLEVUE|WA|98004,47.619142,-122.187946,2026-04-17T08:52:23.103898,street
525 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.103906,street
209 MARTIN LUTHER KING WAY|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.103915,street
1221 MADISON ST STE 600|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T08:52:23.103932,street
141 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.103942,street
33501 FIRST WAY S|FEDERAL WAY|WA|98003,47.31503,-122.312238,2026-04-17T08:52:23.103951,street
304 WEST BAY DR NW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.103960,street
413 LILLY RD|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.103968,street
2612 YELM HWY SE|OLYMPIA|WA|98501,47.007719,-122.874136,2026-04-17T08:52:23.103977,street
424 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.103986,street
21616 76TH AVE W|EDMONDS|WA|98026,47.810165,-122.342193,2026-04-17T08:52:23.103996,street
2920 S MERIDIAN STE 100|PUYALLUP|WA|98373,47.161258,-122.324801,2026-04-17T08:52:23.104006,street
