zip5,lat,lon,city_label,geocoded_at,source
98501,47.0077191,-122.8741364,98501,2026-02-05T23:09:19.343853,
98513,47.0109591,-122.7632327,98513,2026-02-05T23:09:20.568066,
98572,46.5732034,-123.3002034,98572,2026-02-05T23:09:25.943017,
98516,47.0857633,-122.7773849,98516,2026-02-05T23:09:26.966865,
98548,47.407094,-123.1552617,98548,2026-02-05T23:09:28.148486,
98563,47.082934,-123.6702201,98563,2026-02-05T23:09:29.177806,
98503,47.0243619,-122.8044739,98503,2026-02-05T23:09:30.456494,
98577,46.6559066,-123.6940369,98577,2026-02-05T23:09:31.387317,
98532,46.6416819,-122.8791873,98532,2026-02-05T23:09:32.590136,
98585,46.5232915,-122.5903754,98585,2026-02-05T23:09:33.598250,
98520,46.9763949,-123.7948217,98520,2026-02-05T23:09:34.823897,
98568,46.8533884,-123.256971,98568,2026-02-05T23:09:35.817554,
98597,46.9032555,-122.5709511,98597,2026-02-05T23:09:37.097892,
98596,46.4919164,-122.9153618,98596,2026-02-05T23:09:38.085952,
98512,46.9821951,-122.9576539,98512,2026-02-05T23:09:39.315105,
98542,46.531585,-122.731744,98542,2026-02-05T23:09:40.359571,
98579,46.8234639,-123.0460824,98579,2026-02-05T23:09:41.494463,
98328,46.8714503,-122.2874494,98328,2026-02-05T23:09:42.789553,
98569,47.0051274,-124.1610899,98569,2026-02-05T23:09:43.654004,
98591,46.4389039,-122.8343002,98591,2026-02-05T23:09:44.631234,
98506,47.0730622,-122.8675069,98506,2026-02-05T23:09:45.796829,
98541,46.9839276,-123.3561743,98541,2026-02-05T23:09:46.834890,
98576,46.8811109,-122.6770764,98576,2026-02-05T23:09:48.218965,
98564,46.5247882,-122.4786691,98564,2026-02-05T23:09:49.124291,
98502,47.0705315,-122.9511285,98502,2026-02-05T23:09:50.319335,
98377,46.4883756,-121.8514169,98377,2026-02-05T23:09:51.245663,
98584,47.1779961,-123.0563424,98584,2026-02-05T23:09:52.523179,
98550,46.9847868,-123.8885357,98550,2026-02-05T23:09:53.525792,
98561,46.6236799,-123.6514234,98561,2026-02-05T23:09:55.664940,
98557,47.0558139,-123.2680601,98557,2026-02-05T23:09:56.947117,
98531,46.7750624,-122.9892211,98531,2026-02-05T23:09:57.992359,
98589,46.8585083,-122.8543662,98589,2026-02-05T23:10:00.668344,
98582,46.5114789,-122.6301003,98582,2026-02-05T23:10:01.329368,
98509,47.0588086,-122.7641867,98509,2026-02-05T23:10:04.133502,
98536,47.1427369,-124.103126,98536,2026-02-05T23:10:05.144457,
98558,46.9369903,-122.5564404,98558,2026-02-05T23:10:06.378393,
98580,46.9823359,-122.5160932,98580,2026-02-05T23:10:07.428978,
98570,46.5823873,-122.7061249,98570,2026-02-05T23:10:08.609568,
98361,46.6425084,-121.6385709,98361,2026-02-05T23:10:09.604662,
98566,47.4049229,-123.8870676,98566,2026-02-05T23:10:10.740791,
98537,46.9336267,-123.7393928,98537,2026-02-05T23:10:13.034342,
98535,47.1179388,-124.1724721,98535,2026-02-05T23:10:13.982653,
98330,46.1973647,-118.428952,98330,2026-02-05T23:10:15.186105,
98336,46.5277109,-122.125575,98336,2026-02-05T23:10:17.384273,
98367,47.4885254,-122.6445358,98367,2026-02-05T23:10:18.512819,
98539,46.6382959,-123.279948,98539,2026-02-05T23:10:19.574102,
98499,47.1743463,-122.4799841,98499,2026-02-05T23:10:20.621718,
98595,46.8891119,-124.110938,98595,2026-02-05T23:10:21.887675,
98581,46.376357,-123.045065,98581,2026-02-05T23:10:22.916017,
98355,46.7291594,-122.1971717,98355,2026-02-05T23:10:23.994902,
98554,46.562162,-123.559614,98554,2026-02-05T23:10:25.039310,
98544,46.741549,-123.027433,98544,2026-02-05T23:10:26.240104,
98547,46.7893025,-124.0891243,98547,2026-02-05T23:10:27.299911,
98592,47.3396238,-123.0974797,98592,2026-02-05T23:10:28.405915,
98057,47.4787953,-122.2126934,98057,2026-02-05T23:10:29.450138,
98338,47.0677348,-122.3056453,98338,2026-02-05T23:10:31.639214,
98356,46.5687227,-122.3717803,98356,2026-02-05T23:10:32.814558,
98565,46.5769364,-122.9078819,98565,2026-02-05T23:10:33.867161,
98586,46.6541475,-123.8368595,98586,2026-02-05T23:10:35.056176,
98327,47.0988945,-122.6414093,98327,2026-02-05T23:10:37.062435,
98019,47.7346999,-121.9735558,98019,2026-02-05T23:10:37.262906,
98530,46.7981956,-122.8689011,98530,2026-02-05T23:10:38.290732,
98415,47.2501782,-122.4517079,98415,2026-02-05T23:10:39.447571,
98331,47.7478914,-124.3259863,98331,2026-02-05T23:10:40.561270,
98446,47.1692273,-122.366975,98446,2026-02-05T23:10:41.653255,
98092,47.2927623,-122.1707181,98092,2026-02-05T23:10:42.672184,
98445,47.167234,-122.4201362,98445,2026-02-05T23:10:43.861914,
98546,47.3323965,-122.9443123,98546,2026-02-05T23:10:45.017801,
98332,47.3563068,-122.5879228,98332,2026-02-05T23:10:46.057975,
98590,46.723846,-124.0254879,98590,2026-02-05T23:10:47.123296,
98559,46.958591,-123.327768,98559,2026-02-05T23:10:48.262361,
98320,47.6714842,-122.9285562,98320,2026-02-05T23:10:49.296506,
98387,47.0718674,-122.3342769,98387,2026-02-05T23:10:50.641539,
98555,47.3162417,-123.1079774,98555,2026-02-05T23:10:51.497028,
98448,47.1458922,-122.4365682,98448,2026-02-05T23:10:52.679480,
98538,46.5353383,-123.1291261,98538,2026-02-05T23:10:53.708578,
99207,47.6912702,-117.3960047,99207,2026-02-05T23:10:54.902169,
98533,46.58542,-122.528218,98533,2026-02-05T23:10:55.936685,
98571,47.2013607,-124.1977223,98571,2026-02-05T23:10:57.101665,
98552,47.2334604,-123.9889838,98552,2026-02-05T23:10:58.117728,
98562,47.2255817,-124.20993,98562,2026-02-05T23:10:59.308096,
98556,46.8852055,-123.1416614,98556,2026-02-05T23:11:00.325953,
98303,47.1588448,-122.6968827,98303,2026-02-05T23:11:01.496998,
98388,47.1725022,-122.5939015,98388,2026-02-05T23:11:02.553685,
98524,47.385121,-122.8356283,98524,2026-02-05T23:11:04.758414,
98404,47.2123641,-122.4140827,98404,2026-02-05T23:11:05.915210,
98117,47.6869243,-122.3783073,98117,2026-02-05T23:11:06.946588,
98391,47.1712066,-122.1786466,98391,2026-02-05T23:11:08.177202,
98614,46.2843198,-123.9547471,98614,2026-02-05T23:11:09.195616,
98394,47.3409943,-122.747114,98394,2026-02-05T23:11:11.409104,
98583,47.0032949,-123.4806575,98583,2026-02-05T23:11:12.670730,
98405,47.2476257,-122.4685998,98405,2026-02-05T23:11:13.711419,
98611,46.2784645,-122.902623,98611,2026-02-05T23:11:14.877386,
98321,47.1639713,-122.1047444,98321,2026-02-05T23:11:15.910416,
98103,47.6736289,-122.3439845,98103,2026-02-05T23:11:17.092181,
98466,47.2342044,-122.5369946,98466,2026-02-05T23:11:18.113995,
98312,47.5650848,-122.6729036,98312,2026-02-05T23:11:20.335759,
98560,47.2386202,-123.407555,98560,2026-02-05T23:11:21.514170,
98522,46.6380002,-123.0592101,98522,2026-02-05T23:11:22.521034,
98587,47.3399432,-124.2884749,98587,2026-02-05T23:11:23.710034,
98444,47.1640219,-122.4514572,98444,2026-02-05T23:11:24.733839,
98626,46.1499238,-122.9032752,98626,2026-02-05T23:11:25.899545,
98036,47.8024675,-122.2786628,98036,2026-02-05T23:11:26.942635,
98125,47.7160526,-122.3022325,98125,2026-02-05T23:11:28.122458,
98498,47.1667254,-122.5478961,98498,2026-02-05T23:11:29.139775,
98645,46.3018116,-122.7830711,98645,2026-02-05T23:11:31.384817,
98649,46.3169421,-122.5618178,98649,2026-02-05T23:11:33.553401,
98593,46.4006189,-122.9595369,98593,2026-02-05T23:11:35.828131,
98252,48.0827861,-121.9473725,98252,2026-02-05T23:11:36.933343,
98372,47.228481,-122.2825531,98372,2026-02-05T23:11:37.970212,
98042,47.363999,-122.1163511,98042,2026-02-05T23:11:40.182944,
98632,46.1579531,-122.9413691,98632,2026-02-05T23:11:41.351779,
98528,47.4357364,-122.8391646,98528,2026-02-05T23:11:43.576873,
98058,47.4465549,-122.1458665,98058,2026-02-05T23:11:46.033483,
98104,47.6015375,-122.3292078,98104,2026-02-05T23:11:46.797629,
98374,47.1307269,-122.2670882,98374,2026-02-05T23:11:48.995505,
98588,47.3725101,-123.0547555,98588,2026-02-05T23:11:50.172165,
98852,48.3429312,-120.7176949,98852,2026-02-05T23:11:51.343442,
98126,47.5457007,-122.3749644,98126,2026-02-05T23:11:53.454077,
98942,46.6555565,-120.5310504,98942,2026-02-05T23:11:55.643074,
98188,47.4493105,-122.2760975,98188,2026-02-05T23:11:57.836238,
98056,47.5105823,-122.1833858,98056,2026-02-05T23:11:59.026585,
98382,48.0656314,-123.0178762,98382,2026-02-05T23:12:01.517486,
98575,47.477437,-123.8320737,98575,2026-02-05T23:12:01.662000,
98273,48.4273406,-122.3290848,98273,2026-02-05T23:12:02.733107,
98526,47.4596776,-123.8951504,98526,2026-02-05T23:12:07.087804,
98631,46.3522027,-124.0536353,98631,2026-02-05T23:12:08.086520,
14850,45.5346579,-122.8290748,14850,2026-02-05T23:12:11.007066,
98260,48.0357902,-122.4282721,98260,2026-02-05T23:12:13.402511,
98006,47.5586794,-122.150125,98006,2026-02-05T23:12:16.933484,
98610,45.7414894,-121.8286992,98610,2026-02-05T23:12:18.104606,
98926,46.9934215,-120.5422526,98926,2026-02-05T23:12:19.062687,
98407,47.2842121,-122.5072496,98407,2026-02-05T23:12:20.023276,
98040,47.5629735,-122.2274744,98040,2026-02-05T23:12:22.249977,
98406,47.2619867,-122.505815,98406,2026-02-05T23:12:24.600085,
98221,48.4923498,-122.6297431,98221,2026-02-05T23:12:27.179489,
98421,47.2479876,-122.409808,98421,2026-02-05T23:12:28.434088,
98166,47.4566103,-122.3497352,98166,2026-02-05T23:12:29.459490,
98433,47.0963302,-122.5893579,98433,2026-02-05T23:12:31.668543,
98376,47.8079483,-122.8446358,98376,2026-02-05T23:12:35.104854,
98373,47.1612584,-122.324801,98373,2026-02-05T23:12:36.086424,
98362,48.1105665,-123.4144927,98362,2026-02-05T23:12:37.265370,
98045,47.476608,-121.7608433,98045,2026-02-05T23:12:39.464991,
98031,47.405729,-122.1925895,98031,2026-02-05T23:12:42.710510,
