	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2015"																																																																
HCPCS Code	Short Descriptor	2015 FR data SI 	2015 FR    data APC 	2015 FR    data CI																																																													
0001F	"	Heart failure composite"	E		CP15																																																													
0001M	Infectious dis hcv 6 assays	E		NO14																																																													
0002M	Liver dis 10 assays w/ash	E		NO14																																																													
0003M	Liver dis 10 assays w/nash	E		NO14																																																													
0004M	Scoliosis dna alys	E		NO14																																																													
0005F	"	Osteoarthritis composite"	E		CP15																																																													
0006M	Onc hep gene risk classifier	E		NO14																																																													
0007M	Onc gastro 51 gene nomogram	E		NO14																																																													
0008M	Onc breast risk score	E		NO14																																																													
00100	"	Anesth salivary gland"	N																																																															
00102	"	Anesth repair of cleft lip"	N																																																															
00103	"	Anesth blepharoplasty"	N																																																															
00104	"	Anesth electroshock"	N																																																															
00120	"	Anesth ear surgery"	N																																																															
00124	"	Anesth ear exam"	N																																																															
00126	"	Anesth tympanotomy"	N																																																															
0012F	"	Cap bacterial assess"	E		NJ6																																																													
00140	"	Anesth procedures on eye"	N																																																															
00142	"	Anesth lens surgery"	N																																																															
00144	"	Anesth corneal transplant"	N																																																															
00145	"	Anesth vitreoretinal surg"	N																																																															
00147	"	Anesth iridectomy"	N																																																															
00148	"	Anesth eye exam"	N																																																															
0014F	"	Comp preop assess cat surg"	E		NI8																																																													
0015F	"	Melan follow-up complete"	E		NI8																																																													
00160	"	Anesth nose/sinus surgery"	N																																																															
00162	"	Anesth nose/sinus surgery"	N																																																															
00164	"	Anesth biopsy of nose"	N																																																															
00170	"	Anesth procedure on mouth"	N																																																															
00172	"	Anesth cleft palate repair"	N																																																															
00174	"	Anesth pharyngeal surgery"	N																																																															
00176	"	Anesth pharyngeal surgery"	C																																																															
00190	"	Anesth face/skull bone surg"	N																																																															
00192	"	Anesth facial bone surgery"	C																																																															
0019T	"	Extracorp shock wv tx ms nos"	A																																																															
00210	"	Anesth cranial surg nos"	N																																																															
00211	"	Anesth cran surg hemotoma"	C		NI9																																																													
00212	"	Anesth skull drainage"	N																																																															
00214	"	Anesth skull drainage"	C																																																															
00215	"	Anesth skull repair/fract"	C																																																															
00216	"	Anesth head vessel surgery"	N																																																															
00218	"	Anesth special head surgery"	N																																																															
00220	"	Anesth intrcrn nerve"	N																																																															
00222	"	Anesth head nerve surgery"	N																																																															
00300	"	Anesth head/neck/ptrunk"	N																																																															
0030T	Antiprothrombin antibody	A		D13																																																													
00320	"	Anesth neck organ 1yr/>"	N																																																															
00322	"	Anesth biopsy of thyroid"	N																																																															
00326	"	Anesth larynx/trach < 1 yr"	N																																																															
00350	"	Anesth neck vessel surgery"	N																																																															
00352	"	Anesth neck vessel surgery"	N																																																															
00400	"	Anesth skin ext/per/atrunk"	N																																																															
00402	"	Anesth surgery of breast"	N																																																															
00404	"	Anesth surgery of breast"	N																																																															
00406	"	Anesth surgery of breast"	N																																																															
00410	"	Anesth correct heart rhythm"	N																																																															
0042T	"	Ct perfusion w/contrast cbf"	N																																																															
00450	"	Anesth surgery of shoulder"	N																																																															
00452	"	Anesth surgery of shoulder"	C		D15																																																													
00454	"	Anesth collar bone biopsy"	N																																																															
00470	"	Anesth removal of rib"	N																																																															
00472	"	Anesth chest wall repair"	N																																																															
00474	"	Anesth surgery of rib"	C																																																															
0048T	Implant ventricular device	C		D13																																																													
00500	"	Anesth esophageal surgery"	N																																																															
0050T	Removal circulation assist	C		D13																																																													
0051T	"	Implant total heart system"	C																																																															
00520	"	Anesth chest procedure"	N																																																															
00522	"	Anesth chest lining biopsy"	N																																																															
00524	"	Anesth chest drainage"	C																																																															
00528	"	Anes mediascpy & dx thorscpy"	N																																																															
00529	"	Anes medscpy&thorscpy 1 lung"	N																																																															
0052T	"	Replace thrc unit hrt syst"	C																																																															
00530	"	Anesth pacemaker insertion"	N																																																															
00532	"	Anesth vascular access"	N																																																															
00534	"	Anesth cardioverter/defib"	N																																																															
00537	"	Anesth cardiac electrophys"	N																																																															
00539	"	Anesth trach-bronch reconst"	N																																																															
0053T	"	Replace implantable hrt syst"	C																																																															
00540	"	Anesth chest surgery"	C																																																															
00541	"	Anesth one lung ventilation"	N																																																															
00542	"	Anesthesia removal pleura"	C																																																															
00546	"	Anesth lung chest wall surg"	C																																																															
00548	"	Anesth trachea bronchi surg"	N																																																															
0054T	"	Bone srgry cmptr fluor image"	N		RA9																																																													
00550	"	Anesth sternal debridement"	N																																																															
0055T	"	Bone srgry cmptr ct/mri imag"	N		RA9																																																													
00560	"	Anesth heart surg w/o pump"	C																																																															
00561	"	Anesth heart surg <1 yr"	C																																																															
00562	"	Anesth hrt surg w/pmp age 1+"	C																																																															
00563	"	Anesth heart surg w/arrest"	N																																																															
00566	"	Anesth cabg w/o pump"	N																																																															
00567	"	Anesth cabg w/pump"	C		NI9																																																													
00580	"	Anesth heart/lung transplnt"	C																																																															
0058T	"	Cryopreservation ovary tiss"	N	0433	CP15																																																													
0059T	"	Cryopreservation oocyte"	N	0433	D15																																																													
00600	"	Anesth spine cord surgery"	N																																																															
00604	"	Anesth sitting procedure"	C																																																															
00620	"	Anesth spine cord surgery"	N																																																															
00622	"	Anesth removal of nerves"	C		D15																																																													
00625	"	Anes spine tranthor w/o vent"	N		NI7																																																													
00626	"	Anes spine transthor w/vent"	N		NI7																																																													
00630	"	Anesth spine cord surgery"	N																																																															
00632	"	Anesth removal of nerves"	C																																																															
00634	"	Anesth for chemonucleolysis"	N		D15																																																													
00635	"	Anesth lumbar puncture"	N																																																															
