HCPCS,Description,StatusIndicator,APC,RelativeWeight,PaymentRate,Year
0001F,Heart failure composite,E,,0.0,0.0,2015
0001M,Infectious dis hcv 6 assays,E,,0.0,0.0,2015
0002M,Liver dis 10 assays w/ash,E,,0.0,0.0,2015
0003M,Liver dis 10 assays w/nash,E,,0.0,0.0,2015
0004M,Scoliosis dna alys,E,,0.0,0.0,2015
0005F,Osteoarthritis composite,E,,0.0,0.0,2015
0006M,Onc hep gene risk classifier,E,,0.0,0.0,2015
0007M,Onc gastro 51 gene nomogram,E,,0.0,0.0,2015
0008M,Onc breast risk score,E,,0.0,0.0,2015
00100,Anesth salivary gland,N,,0.0,0.0,2015
00102,Anesth repair of cleft lip,N,,0.0,0.0,2015
00103,Anesth blepharoplasty,N,,0.0,0.0,2015
00104,Anesth electroshock,N,,0.0,0.0,2015
00120,Anesth ear surgery,N,,0.0,0.0,2015
00124,Anesth ear exam,N,,0.0,0.0,2015
00126,Anesth tympanotomy,N,,0.0,0.0,2015
0012F,Cap bacterial assess,E,,0.0,0.0,2015
00140,Anesth procedures on eye,N,,0.0,0.0,2015
00142,Anesth lens surgery,N,,0.0,0.0,2015
00144,Anesth corneal transplant,N,,0.0,0.0,2015
00145,Anesth vitreoretinal surg,N,,0.0,0.0,2015
00147,Anesth iridectomy,N,,0.0,0.0,2015
00148,Anesth eye exam,N,,0.0,0.0,2015
0014F,Comp preop assess cat surg,E,,0.0,0.0,2015
0015F,Melan follow-up complete,E,,0.0,0.0,2015
00160,Anesth nose/sinus surgery,N,,0.0,0.0,2015
00162,Anesth nose/sinus surgery,N,,0.0,0.0,2015
00164,Anesth biopsy of nose,N,,0.0,0.0,2015
00170,Anesth procedure on mouth,N,,0.0,0.0,2015
00172,Anesth cleft palate repair,N,,0.0,0.0,2015
00174,Anesth pharyngeal surgery,N,,0.0,0.0,2015
00176,Anesth pharyngeal surgery,C,,0.0,0.0,2015
00190,Anesth face/skull bone surg,N,,0.0,0.0,2015
00192,Anesth facial bone surgery,C,,0.0,0.0,2015
0019T,Extracorp shock wv tx ms nos,A,,0.0,0.0,2015
00210,Anesth cranial surg nos,N,,0.0,0.0,2015
00211,Anesth cran surg hemotoma,C,,0.0,0.0,2015
00212,Anesth skull drainage,N,,0.0,0.0,2015
00214,Anesth skull drainage,C,,0.0,0.0,2015
00215,Anesth skull repair/fract,C,,0.0,0.0,2015
00216,Anesth head vessel surgery,N,,0.0,0.0,2015
00218,Anesth special head surgery,N,,0.0,0.0,2015
00220,Anesth intrcrn nerve,N,,0.0,0.0,2015
00222,Anesth head nerve surgery,N,,0.0,0.0,2015
00300,Anesth head/neck/ptrunk,N,,0.0,0.0,2015
00320,Anesth neck organ 1yr/>,N,,0.0,0.0,2015
00322,Anesth biopsy of thyroid,N,,0.0,0.0,2015
00326,Anesth larynx/trach < 1 yr,N,,0.0,0.0,2015
00350,Anesth neck vessel surgery,N,,0.0,0.0,2015
00352,Anesth neck vessel surgery,N,,0.0,0.0,2015
00400,Anesth skin ext/per/atrunk,N,,0.0,0.0,2015
00402,Anesth surgery of breast,N,,0.0,0.0,2015
00404,Anesth surgery of breast,N,,0.0,0.0,2015
00406,Anesth surgery of breast,N,,0.0,0.0,2015
00410,Anesth correct heart rhythm,N,,0.0,0.0,2015
0042T,Ct perfusion w/contrast cbf,N,,0.0,0.0,2015
00450,Anesth surgery of shoulder,N,,0.0,0.0,2015
00452,Anesth surgery of shoulder,D,,0.0,0.0,2015
00454,Anesth collar bone biopsy,N,,0.0,0.0,2015
00470,Anesth removal of rib,N,,0.0,0.0,2015
00472,Anesth chest wall repair,N,,0.0,0.0,2015
00474,Anesth surgery of rib,C,,0.0,0.0,2015
00500,Anesth esophageal surgery,N,,0.0,0.0,2015
0051T,Implant total heart system,C,,0.0,0.0,2015
00520,Anesth chest procedure,N,,0.0,0.0,2015
00522,Anesth chest lining biopsy,N,,0.0,0.0,2015
00524,Anesth chest drainage,C,,0.0,0.0,2015
00528,Anes mediascpy & dx thorscpy,N,,0.0,0.0,2015
00529,Anes medscpy&thorscpy 1 lung,N,,0.0,0.0,2015
0052T,Replace thrc unit hrt syst,C,,0.0,0.0,2015
00530,Anesth pacemaker insertion,N,,0.0,0.0,2015
00532,Anesth vascular access,N,,0.0,0.0,2015
00534,Anesth cardioverter/defib,N,,0.0,0.0,2015
00537,Anesth cardiac electrophys,N,,0.0,0.0,2015
00539,Anesth trach-bronch reconst,N,,0.0,0.0,2015
0053T,Replace implantable hrt syst,C,,0.0,0.0,2015
00540,Anesth chest surgery,C,,0.0,0.0,2015
00541,Anesth one lung ventilation,N,,0.0,0.0,2015
00542,Anesthesia removal pleura,C,,0.0,0.0,2015
00546,Anesth lung chest wall surg,C,,0.0,0.0,2015
00548,Anesth trachea bronchi surg,N,,0.0,0.0,2015
0054T,Bone srgry cmptr fluor image,N,,0.0,0.0,2015
00550,Anesth sternal debridement,N,,0.0,0.0,2015
0055T,Bone srgry cmptr ct/mri imag,N,,0.0,0.0,2015
00560,Anesth heart surg w/o pump,C,,0.0,0.0,2015
00561,Anesth heart surg <1 yr,C,,0.0,0.0,2015
00562,Anesth hrt surg w/pmp age 1+,C,,0.0,0.0,2015
00563,Anesth heart surg w/arrest,N,,0.0,0.0,2015
00566,Anesth cabg w/o pump,N,,0.0,0.0,2015
00567,Anesth cabg w/pump,C,,0.0,0.0,2015
00580,Anesth heart/lung transplnt,C,,0.0,0.0,2015
0058T,Cryopreservation ovary tiss,Q1,433.0,2.4765,183.62,2015
0059T,Cryopreservation oocyte,D,,0.0,0.0,2015
00600,Anesth spine cord surgery,N,,0.0,0.0,2015
00604,Anesth sitting procedure,C,,0.0,0.0,2015
00620,Anesth spine cord surgery,N,,0.0,0.0,2015
00622,Anesth removal of nerves,D,,0.0,0.0,2015
00625,Anes spine tranthor w/o vent,N,,0.0,0.0,2015
00626,Anes spine transthor w/vent,N,,0.0,0.0,2015
00630,Anesth spine cord surgery,N,,0.0,0.0,2015
00632,Anesth removal of nerves,C,,0.0,0.0,2015
00634,Anesth for chemonucleolysis,D,,0.0,0.0,2015
00635,Anesth lumbar puncture,N,,0.0,0.0,2015
00640,Anesth spine manipulation,N,,0.0,0.0,2015
