Procedure Code,Description,Customer/Network Name,Modifier,Product,Max Amount,Site Of Service
55875,TRANSPERINEAL PLCMNT NEEDLES,APCN_Seattle_POSII,,MC,"$1,255.95 ",Both
55876,PLACE RT DEVICE/MARKER PROS,APCN_Seattle_POSII,,MC,$253.70 ,Office
55876,PLACE RT DEVICE/MARKER PROS,APCN_Seattle_POSII,,MC,$163.17 ,Non-Office
77263,RADIATION THERAPY PLANNING,APCN_Seattle_POSII,,MC,$201.89 ,Both
77427,"RADIATION TX MANAGEMENT, X5",APCN_Seattle_POSII,,MC,$229.06 ,Both
77431,RADIATION THERAPY MANAGEMENT,APCN_Seattle_POSII,,MC,$129.20 ,Both
77432,STEREOTACTIC RADIATION TREAT,APCN_Seattle_POSII,,MC,$509.12 ,Both
77435,STEREOTACTIC BODY RADIATION,APCN_Seattle_POSII,,MC,$768.74 ,Both
99205,OFFICE O/P NEW HI 60-74 MIN,APCN_Seattle_POSII,,MC,$306.21 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,APCN_Seattle_POSII,,MC,$249.76 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,APCN_Seattle_POSII,,MC,$251.20 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,APCN_Seattle_POSII,,MC,$198.41 ,Non-Office
99223,INITIAL HOSPITAL CARE,APCN_Seattle_POSII,,MC,$268.20 ,Both
55875,TRANSPERINEAL PLCMNT NEEDLES,,,MEHMO,$776.61 ,Both
55876,PLACE RT DEVICE/MARKER PROS,,,MEHMO,$154.59 ,Office
55876,PLACE RT DEVICE/MARKER PROS,,,MEHMO,$101.25 ,Non-Office
77263,RADIATION THERAPY PLANNING,,,MEHMO,$168.98 ,Both
77427,"RADIATION TX MANAGEMENT, X5",,,MEHMO,$191.49 ,Both
77431,RADIATION THERAPY MANAGEMENT,,,MEHMO,$107.48 ,Both
77432,STEREOTACTIC RADIATION TREAT,,,MEHMO,$426.73 ,Both
77435,STEREOTACTIC BODY RADIATION,,,MEHMO,$643.88 ,Both
99205,OFFICE O/P NEW HI 60-74 MIN,,,MEHMO,$222.70 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,,,MEHMO,$183.40 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MEHMO,$182.31 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MEHMO,$145.82 ,Non-Office
99223,INITIAL HOSPITAL CARE,,,MEHMO,$196.49 ,Both
55875,TRANSPERINEAL PLCMNT NEEDLES,APCN_Seattle_OASEL,,MEPO,"$1,255.95 ",Both
55875,TRANSPERINEAL PLCMNT NEEDLES,APCN_Seattle_OASEL99,,MEPO,"$1,255.95 ",Both
55875,TRANSPERINEAL PLCMNT NEEDLES,WA Value Network- West,,MEPO,"$1,255.95 ",Both
55876,PLACE RT DEVICE/MARKER PROS,APCN_Seattle_OASEL,,MEPO,$253.70 ,Office
55876,PLACE RT DEVICE/MARKER PROS,APCN_Seattle_OASEL,,MEPO,$163.17 ,Non-Office
55876,PLACE RT DEVICE/MARKER PROS,APCN_Seattle_OASEL99,,MEPO,$253.70 ,Office
55876,PLACE RT DEVICE/MARKER PROS,APCN_Seattle_OASEL99,,MEPO,$163.17 ,Non-Office
55876,PLACE RT DEVICE/MARKER PROS,WA Value Network- West,,MEPO,$253.70 ,Office
55876,PLACE RT DEVICE/MARKER PROS,WA Value Network- West,,MEPO,$163.17 ,Non-Office
77263,RADIATION THERAPY PLANNING,APCN_Seattle_OASEL,,MEPO,$201.89 ,Both
77263,RADIATION THERAPY PLANNING,APCN_Seattle_OASEL99,,MEPO,$201.89 ,Both
77263,RADIATION THERAPY PLANNING,WA Value Network- West,,MEPO,$201.89 ,Both
77427,"RADIATION TX MANAGEMENT, X5",APCN_Seattle_OASEL,,MEPO,$229.06 ,Both
77427,"RADIATION TX MANAGEMENT, X5",APCN_Seattle_OASEL99,,MEPO,$229.06 ,Both
77427,"RADIATION TX MANAGEMENT, X5",WA Value Network- West,,MEPO,$229.06 ,Both
77431,RADIATION THERAPY MANAGEMENT,APCN_Seattle_OASEL,,MEPO,$129.20 ,Both
77431,RADIATION THERAPY MANAGEMENT,APCN_Seattle_OASEL99,,MEPO,$129.20 ,Both
77431,RADIATION THERAPY MANAGEMENT,WA Value Network- West,,MEPO,$129.20 ,Both
77432,STEREOTACTIC RADIATION TREAT,APCN_Seattle_OASEL,,MEPO,$509.12 ,Both
77432,STEREOTACTIC RADIATION TREAT,APCN_Seattle_OASEL99,,MEPO,$509.12 ,Both
77432,STEREOTACTIC RADIATION TREAT,WA Value Network- West,,MEPO,$509.12 ,Both
77435,STEREOTACTIC BODY RADIATION,APCN_Seattle_OASEL,,MEPO,$768.74 ,Both
77435,STEREOTACTIC BODY RADIATION,APCN_Seattle_OASEL99,,MEPO,$768.74 ,Both
77435,STEREOTACTIC BODY RADIATION,WA Value Network- West,,MEPO,$768.74 ,Both
99205,OFFICE O/P NEW HI 60-74 MIN,APCN_Seattle_OASEL,,MEPO,$306.21 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,APCN_Seattle_OASEL,,MEPO,$249.76 ,Non-Office
99205,OFFICE O/P NEW HI 60-74 MIN,APCN_Seattle_OASEL99,,MEPO,$306.21 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,APCN_Seattle_OASEL99,,MEPO,$249.76 ,Non-Office
99205,OFFICE O/P NEW HI 60-74 MIN,WA Value Network- West,,MEPO,$306.21 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,WA Value Network- West,,MEPO,$249.76 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,APCN_Seattle_OASEL,,MEPO,$251.20 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,APCN_Seattle_OASEL,,MEPO,$198.41 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,APCN_Seattle_OASEL99,,MEPO,$251.20 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,APCN_Seattle_OASEL99,,MEPO,$198.41 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,WA Value Network- West,,MEPO,$251.20 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,WA Value Network- West,,MEPO,$198.41 ,Non-Office
